[01:00:08] IDS Traffic Simulator Started...
Targeting: http://localhost:5000/api/predict
[01:00:09] ✅ Tenant: TechCorp G | Src: 97.108.46.153   | Sig: Normal Traffic            | Sev: Low
[01:00:11] ✅ Tenant: Oakridge P | Src: 35.184.99.164   | Sig: Normal Traffic            | Sev: Low
[01:00:13] ✅ Tenant: Apex Finan | Src: 227.14.38.186   | Sig: Normal Traffic            | Sev: Low
[01:00:15] ✅ Tenant: Local Sens | Src: 7.160.18.23     | Sig: Normal Traffic            | Sev: Low
[01:00:19] ✅ Tenant: Apex Finan | Src: 41.83.127.138   | Sig: Normal Traffic            | Sev: Low
[01:00:23] ✅ Tenant: Mercy Gene | Src: 45.222.192.126  | Sig: Normal Traffic            | Sev: Low
[01:00:26] ✅ Tenant: Local Sens | Src: 190.93.240.0    | Sig: Normal Traffic            | Sev: Low
[01:00:31] ✅ Tenant: Oakridge P | Src: 80.103.89.231   | Sig: Normal Traffic            | Sev: Low
[01:00:35] ✅ Tenant: Apex Finan | Src: 144.77.171.43   | Sig: Normal Traffic            | Sev: Low
[01:00:40] ✅ Tenant: Apex Finan | Src: 221.188.111.12  | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:00:43] ✅ Tenant: City Munic | Src: 235.66.34.115   | Sig: Normal Traffic            | Sev: Low
[01:00:45] ✅ Tenant: City Munic | Src: 54.177.163.149  | Sig: Normal Traffic            | Sev: Low
[01:00:48] ✅ Tenant: Apex Finan | Src: 156.219.19.12   | Sig: ET SCAN Nmap Scripting En | Sev: Medium
[01:00:51] ✅ Tenant: Local Sens | Src: 243.218.11.169  | Sig: Normal Traffic            | Sev: Low
[01:00:53] ✅ Tenant: Mercy Gene | Src: 159.207.220.165 | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:00:57] ✅ Tenant: Local Sens | Src: 190.93.240.0    | Sig: Normal Traffic            | Sev: Low
[01:01:01] ✅ Tenant: Local Sens | Src: 40.185.77.50    | Sig: Normal Traffic            | Sev: Low
[01:01:03] ✅ Tenant: City Munic | Src: 45.12.99.11     | Sig: Normal Traffic            | Sev: Low
[01:01:06] ✅ Tenant: Local Sens | Src: 17.160.31.224   | Sig: ET POLICY SSH Brute Force | Sev: Medium
[01:01:08] ✅ Tenant: Oakridge P | Src: 107.213.204.63  | Sig: Normal Traffic            | Sev: Low
